,precision,recall,f1-score,support
Parameter,0.5071428571428571,0.5035460992907801,0.505338078291815,141.0
Materials / EEEs,0.48717948717948717,0.5428571428571428,0.5135135135135135,70.0
Structure & Mechanism,0.5208333333333334,0.4807692307692308,0.5,104.0
Power,0.7766990291262136,0.8556149732620321,0.8142493638676844,187.0
Quality control,0.6569037656903766,0.8263157894736842,0.7319347319347319,190.0
System engineering,0.5590551181102362,0.6513761467889908,0.6016949152542372,109.0
Cleanliness,0.8554216867469879,0.8658536585365854,0.8606060606060606,82.0
GN&C,0.7398373983739838,0.6546762589928058,0.6946564885496184,139.0
Thermal,0.6036036036036037,0.8481012658227848,0.7052631578947368,79.0
Space Environment,0.7248908296943232,0.7377777777777778,0.7312775330396476,225.0
OBDH,0.8257372654155496,0.8415300546448088,0.8335588633288228,366.0
Propulsion,0.6338028169014085,0.5113636363636364,0.5660377358490566,88.0
Project Scope,0.6470588235294118,0.6027397260273972,0.624113475177305,73.0
Safety / Risk (Control),0.7142857142857143,0.8333333333333334,0.7692307692307693,102.0
Measurement,0.9047619047619048,0.8636363636363636,0.8837209302325582,132.0
Nonconformity,0.4482758620689655,0.6190476190476191,0.52,42.0
Telecom.,0.6261682242990654,0.6036036036036037,0.6146788990825688,111.0
Project Organisation / Documentation,0.6595744680851063,0.5081967213114754,0.5740740740740741,61.0
micro avg,0.6922115785089547,0.7222946544980443,0.7069332199064228,2301.0
macro avg,0.660624010463807,0.6861299667522252,0.6691082549959555,2301.0
weighted avg,0.6956178663934671,0.7222946544980443,0.7058455020140321,2301.0
