,precision,recall,f1-score,support
Project Scope,0.6097560975609756,0.5882352941176471,0.5988023952095808,85.0
Measurement,0.9740932642487047,0.8995215311004785,0.9353233830845771,209.0
Safety / Risk (Control),0.8,0.6551724137931034,0.7203791469194313,116.0
GN&C,0.8307692307692308,0.6067415730337079,0.7012987012987013,89.0
Project Organisation / Documentation,0.7156862745098039,0.6636363636363637,0.6886792452830188,110.0
Space Environment,0.6877323420074349,0.7872340425531915,0.7341269841269841,235.0
Thermal,0.8837209302325582,0.6333333333333333,0.7378640776699029,60.0
Power,0.7516778523489933,0.8175182481751825,0.7832167832167832,137.0
Structure & Mechanism,0.5785123966942148,0.5982905982905983,0.5882352941176471,117.0
System engineering,0.6178343949044586,0.7404580152671756,0.6736111111111112,131.0
Cleanliness,0.7096774193548387,0.7213114754098361,0.7154471544715447,61.0
OBDH,0.7455197132616488,0.8093385214007782,0.7761194029850746,257.0
Materials / EEEs,0.6388888888888888,0.6301369863013698,0.6344827586206897,73.0
Quality control,0.796875,0.7355769230769231,0.765,208.0
Propulsion,0.7727272727272727,0.85,0.8095238095238095,100.0
Nonconformity,0.7073170731707317,0.5370370370370371,0.6105263157894737,54.0
Telecom.,0.6666666666666666,0.6896551724137931,0.6779661016949152,116.0
Parameter,0.45794392523364486,0.7,0.5536723163841808,140.0
micro avg,0.7125950972104819,0.7336814621409922,0.7229845626072041,2298.0
macro avg,0.7191888190322259,0.7035109738300288,0.7057930545281903,2298.0
weighted avg,0.7272899478791081,0.7336814621409922,0.7258029772669988,2298.0
