step,epoch,loss,train_ppl,learning_rate,eval_loss,eval_ppl
200,0.06550933508024893,2.6788,14.567601680993656,4.995344157971083e-05,,
400,0.13101867016049787,2.5677,13.035807577345967,4.990664919751065e-05,,
600,0.19652800524074682,2.5254,12.49589262111712,4.9859856815310465e-05,,
800,0.26203734032099574,2.5116,12.324633707321233,4.981306443311029e-05,,
1000,0.32754667540124466,2.4958,12.131434785393635,4.976627205091011e-05,,
1200,0.39305601048149363,2.4463,11.545549060855226,4.971947966870993e-05,,
1400,0.45856534556174255,2.4551,11.647598250468462,4.9672687286509756e-05,,
1600,0.5240746806419915,2.4428,11.505210273199802,4.9625894904309585e-05,,
1800,0.5895840157222404,2.4445,11.524785765117942,4.957910252210941e-05,,
2000,0.6550933508024893,2.4178,11.22114561942197,4.953231013990923e-05,,
2200,0.7206026858827382,2.3885,10.897135973671558,4.9485517757709046e-05,,
2400,0.7861120209629873,2.4146,11.185295344471967,4.943872537550887e-05,,
2600,0.8516213560432362,2.4121,11.157367031048564,4.939193299330869e-05,,
2800,0.9171306911234851,2.3608,10.599427603604132,4.9345140611108514e-05,,
3000,0.982640026203734,2.3759,10.760693453410708,4.9298348228908336e-05,,
3053,1.0,,,,2.231487512588501,9.313710041329246
3200,1.048149361283983,2.3362,10.341862721471701,4.925155584670816e-05,,
3400,1.1136586963642319,2.3144,10.118849787113744,4.920476346450798e-05,,
3600,1.1791680314444808,2.3286,10.263562482581086,4.9157971082307804e-05,,
3800,1.2446773665247297,2.3268,10.245104687111969,4.911117870010763e-05,,
4000,1.3101867016049786,2.2939,9.913525134754655,4.906438631790744e-05,,
4200,1.3756960366852278,2.302,9.994150781394822,4.9017593935707265e-05,,
4400,1.4412053717654767,2.3,9.974182454814718,4.897080155350709e-05,,
4600,1.5067147068457256,2.293,9.904606975906837,4.892400917130691e-05,,
4800,1.5722240419259745,2.2529,9.515290204807197,4.887721678910673e-05,,
5000,1.6377333770062235,2.2743,9.721111852035238,4.8830424406906556e-05,,
5200,1.7032427120864724,2.2763,9.740573530930975,4.8783632024706385e-05,,
5400,1.7687520471667213,2.2562,9.54674253027711,4.873683964250621e-05,,
5600,1.8342613822469702,2.2549,9.534339828490623,4.869004726030602e-05,,
5800,1.8997707173272191,2.2725,9.703629589458101,4.8643254878105846e-05,,
6000,1.965280052407468,2.2181,9.189853545948774,4.859646249590567e-05,,
6106,2.0,,,,2.134181261062622,8.450125227338322
6200,2.030789387487717,2.2507,9.494379576481736,4.854967011370549e-05,,
6400,2.096298722567966,2.2348,9.344612742743369,4.8502877731505314e-05,,
6600,2.161808057648215,2.2074,9.092046314854183,4.8456085349305136e-05,,
6800,2.2273173927284637,2.2016,9.039465079214036,4.840929296710496e-05,,
7000,2.2928267278087127,2.1843,8.884427277084747,4.836250058490478e-05,,
7200,2.3583360628889616,2.2078,9.095683860840825,4.8315708202704604e-05,,
7400,2.4238453979692105,2.2078,9.095683860840825,4.8268915820504427e-05,,
7600,2.4893547330494594,2.1808,8.853386135300898,4.822212343830424e-05,,
7800,2.5548640681297083,2.1926,8.958474896008534,4.8175331056104065e-05,,
8000,2.6203734032099573,2.1951,8.980899101826555,4.812853867390389e-05,,
8200,2.685882738290206,2.2088,9.104784094059923,4.808174629170371e-05,,
8400,2.7513920733704555,2.1868,8.906666132263695,4.803495390950353e-05,,
8600,2.816901408450704,2.1822,8.865789556259097,4.7988161527303355e-05,,
8800,2.8824107435309534,2.1817,8.861357769519984,4.7941369145103185e-05,,
9000,2.947920078611202,2.1755,8.806587315205244,4.789457676290301e-05,,
9159,3.0,,,,2.0655112266540527,7.88933010271286
9200,3.0134294136914512,2.1735,8.788991742013216,4.784778438070282e-05,,
9400,3.0789387487717,2.1427,8.52241711883551,4.7800991998502646e-05,,
9600,3.144448083851949,2.16,8.671137658463456,4.775419961630247e-05,,
9800,3.209957418932198,2.1407,8.505389318074531,4.770740723410229e-05,,
10000,3.275466754012447,2.1011,8.1751576418163,4.7660614851902113e-05,,
10200,3.340976089092696,2.1281,8.39889374371796,4.7613822469701936e-05,,
10400,3.4064854241729448,2.1259,8.380436487907598,4.756703008750176e-05,,
10600,3.4719947592531937,2.1632,8.698929742589229,4.752023770530158e-05,,
10800,3.5375040943334426,2.1597,8.668536707328093,4.7473445323101404e-05,,
11000,3.6030134294136915,2.1618,8.686759761923835,4.742665294090122e-05,,
11200,3.6685227644939404,2.136,8.46550778330153,4.737986055870104e-05,,
11400,3.7340320995741894,2.1273,8.392177315652422,4.7333068176500865e-05,,
11600,3.7995414346544383,2.1099,8.247416501738032,4.728627579430069e-05,,
11800,3.865050769734687,2.1174,8.309504665075588,4.723948341210051e-05,,
12000,3.930560104814936,2.1104,8.251541241087804,4.719269102990033e-05,,
12200,3.996069439895185,2.1272,8.391338139880347,4.7145898647700155e-05,,
12212,4.0,,,,2.038662910461426,7.680333037378918
12400,4.061578774975434,2.0551,7.807618595458653,4.7099106265499984e-05,,
12600,4.127088110055683,2.0977,8.14740930473805,4.70523138832998e-05,,
12800,4.192597445135932,2.0898,8.083298342959722,4.700552150109962e-05,,
